,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
233,275923,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
234,275931,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
235,275963,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
236,276092,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
237,276097,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
238,276097,107,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
239,276242,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
240,276242,9,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
241,276242,465,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
242,276242,1385,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
243,276243,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
244,276244,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
245,276282,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
246,276282,376,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
247,276282,971,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
248,276283,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
249,276283,778,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
250,276315,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
251,276315,126,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
252,276317,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
253,276318,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
254,276318,350,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
255,276355,1,0,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
256,276361,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
257,276361,464,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
258,276363,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
259,276363,503,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
260,276384,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
