Unnamed: 0,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
146,316457,771.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
147,316457,1355.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
148,316469,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
149,316469,400.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
150,316469,600.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
151,316470,1.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
152,316470,255.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
153,316472,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
154,316472,89.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
155,316505,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
156,316505,284.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
157,316505,567.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
158,316505,846.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
159,316505,1247.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
160,316569,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
161,316569,196.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
162,316569,370.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
163,316569,636.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
164,316569,709.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
165,316569,790.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
166,316569,1155.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
167,316569,1651.0,8.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
168,316590,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
169,316590,262.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
170,316590,474.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
171,316613,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
172,316615,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
173,316615,268.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
174,316666,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
175,316666,3.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
176,316666,182.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
177,316666,559.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
178,316666,906.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
179,316667,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
180,316700,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
181,316700,299.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
182,316701,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
183,316701,103.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
184,316701,389.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
185,316702,1.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v12/1,ONE,L1_SingleJet200/1.00
